iteration,training_steps,episode_reward_mean,episode_reward_min,episode_reward_max,policy_loss,value_loss,total_loss,entropy,kl_divergence,vf_explained_var,time_elapsed
1,686504,19.9,9.0,67.0,-0.06945712864398956,7.895572662353516,7.82702112197876,0.6882309317588806,0.004526958335191011,-0.007027268409729004,2.958018
2,1365725,25.65,10.0,74.0,0.0436687134206295,7.897332191467285,7.941799163818359,0.6791105270385742,0.007980120368301868,0.031031370162963867,5.782476
3,2041849,23.16,10.0,58.0,-0.0636860802769661,8.62686824798584,8.564386367797852,0.6563328504562378,0.012048229575157166,0.008062899112701416,8.703235
4,2704203,34.18,10.0,80.0,-0.001146136550232768,8.375946044921875,8.376214027404785,0.6180567145347595,0.014139744453132153,0.03526812791824341,11.536515
5,3357323,49.19,12.0,105.0,-0.06756149977445602,8.924299240112305,8.85755443572998,0.6110072731971741,0.00817730464041233,0.0747380256652832,14.324672
6,4009803,56.93,21.0,146.0,-0.13468219339847565,8.86098575592041,8.727839469909668,0.583573043346405,0.015331314876675606,0.08979904651641846,17.183918
7,4654548,71.97,18.0,199.0,0.01467573270201683,9.137683868408203,9.15371036529541,0.5741544365882874,0.013507970608770847,0.12757796049118042,19.928371
8,5291920,130.23,63.0,269.0,-0.03839758783578873,9.620504379272461,9.583198547363281,0.5769680738449097,0.010912689380347729,0.012436509132385254,22.685243
9,5928818,145.41,42.0,270.0,-0.04957820847630501,9.525444030761719,9.476827621459961,0.5972265005111694,0.009612422436475754,0.12272942066192627,25.622934
10,6565084,161.77,28.0,271.0,-0.04369953274726868,9.699892044067383,9.65699577331543,0.5831984281539917,0.008037824183702469,0.06660151481628418,28.402526
11,7201192,180.91,42.0,298.0,-0.0026818993501365185,9.822945594787598,9.821002006530762,0.585480809211731,0.007371502462774515,0.060307860374450684,31.181773
12,7836668,218.39,42.0,500.0,0.024897500872612,9.678153038024902,9.703944206237793,0.5791568160057068,0.008925327099859715,0.02277839183807373,33.96935
13,8467180,251.87,82.0,500.0,-0.02402385324239731,9.712994575500488,9.690144538879395,0.5491160154342651,0.01175268180668354,0.006795942783355713,36.688835
14,9097692,314.36,82.0,500.0,0.043559540063142776,9.857062339782715,9.901562690734863,0.5588160157203674,0.009412428364157677,0.040489792823791504,39.397886
15,9728518,336.24,123.0,500.0,0.07430244982242584,9.837104797363281,9.912318229675293,0.5455799102783203,0.009113294072449207,-0.01376497745513916,42.12302
16,10358716,332.77,123.0,500.0,0.03333165869116783,9.926507949829102,9.9606351852417,0.5457214117050171,0.007959360256791115,-0.0014488697052001953,44.864105
17,10989228,350.0,163.0,500.0,0.13481710851192474,9.90832233428955,10.043936729431152,0.5585220456123352,0.007970576174557209,0.0020381808280944824,47.596977
18,11619897,346.92,188.0,500.0,-0.021057890728116035,9.776653289794922,9.756759643554688,0.5434401631355286,0.01164078339934349,0.029547393321990967,50.410604
19,12249781,374.27,188.0,500.0,0.0068403445184230804,9.848077774047852,9.855751991271973,0.5505257248878479,0.00834348052740097,-0.013738393783569336,53.270887
